"incident_report_number","crime_type","ucr_code","family_violence","occ_date_time","occ_date","occ_time","rep_date_time","rep_date","rep_time","location_type","address","zip_code","council_district","sector","district","pra","census_tract","clearance_status","clearance_date","ucr_category","category_description","x_coordinate","y_coordinate","latitude","longitude","location"
"20215006548","THEFT","600","N","2021-02-20T00:00:00.000","2021-02-20T00:00:00.000","0","2021-02-20T23:22:00.000","2021-02-20T00:00:00.000","2322","RESIDENCE / HOME","1656 RUTLAND DR","78758","4","ED","2","219",,,,"23H","Theft","3123406","3123406","30.37359528","-97.71112885","
,  
(30.37359528, -97.71112885)"
"2021510575","AUTO THEFT","700","N","2021-02-19T22:00:00.000","2021-02-19T00:00:00.000","2200","2021-02-20T13:33:00.000","2021-02-20T00:00:00.000","1333","RESIDENCE / HOME","701 W LONGSPUR BLVD","78753","4","ED","1","240",,,,"240","Auto Theft","3129180","3129180","30.36652912","-97.69300709","
,  
(30.36652912, -97.69300709)"
"2021210501188","DISTURBANCE - OTHER","3401","N","2021-02-19T20:51:00.000","2021-02-19T00:00:00.000","2051","2021-02-19T20:51:00.000","2021-02-19T00:00:00.000","2051","RESTAURANTS","621 E 7TH ST","78701","9","GE","2","382",,,,,,"3116477","3116477","30.2670023","-97.73597856","
,  
(30.2670023, -97.73597856)"
"20215006535","BURGLARY NON RESIDENCE","502","N","2021-02-19T19:40:00.000","2021-02-19T00:00:00.000","1940","2021-02-19T19:40:00.000","2021-02-19T00:00:00.000","1940","RENTAL STORAGE FACILITY","12915 RESEARCH BLVD SVRD NB",,,,,,,,,"220","Burglary",,,,,
"20215006533","RUNAWAY CHILD","4100","N","2021-02-19T18:30:00.000","2021-02-19T00:00:00.000","1830","2021-02-19T19:01:00.000","2021-02-19T00:00:00.000","1901","RESIDENCE / HOME","1201 CUMBERLAND RD","78704","3","DA","2","472",,,,,,"3105986","3105986","30.24112574","-97.76990617","
,  
(30.24112574, -97.76990617)"
"2021501023","AUTO THEFT","700","N","2021-02-19T18:16:00.000","2021-02-19T00:00:00.000","1816","2021-02-19T18:16:00.000","2021-02-19T00:00:00.000","1816","RESIDENCE / HOME","7514 URAY DR","78724","1","CH","7","300",,,,"240","Auto Theft","3141652","3141652","30.31562319","-97.65486215","
,  
(30.31562319, -97.65486215)"
"2021501016","AUTO THEFT","700","N","2021-02-19T18:08:00.000","2021-02-19T00:00:00.000","1808","2021-02-19T18:08:00.000","2021-02-19T00:00:00.000","1808","STREETS / HWY / ROAD / ALLEY","744 W WILLIAM CANNON DR","78745","2","FR","4","512",,,,"240","Auto Theft","3100231","3100231","30.19835668","-97.78926252","
,  
(30.19835668, -97.78926252)"
"2021501021","AGG ROBBERY/DEADLY WEAPON","300","N","2021-02-19T18:00:00.000","2021-02-19T00:00:00.000","1800","2021-02-19T18:14:00.000","2021-02-19T00:00:00.000","1814","DEPARTMENT / DISCOUNT STORE","5405 S PLEASANT VALLEY RD","78744","2","FR","5","518",,,,"120","Robbery","3114516","3114516","30.1934592","-97.74416431","
,  
(30.1934592, -97.74416431)"
"2021510422","AUTO THEFT","700","N","2021-02-19T17:30:00.000","2021-02-19T00:00:00.000","1730","2021-02-20T08:44:00.000","2021-02-20T00:00:00.000","844","STREETS / HWY / ROAD / ALLEY","7800 BLOCK S IH 35 SVRD NB","78744","2","FR","7","543",,,,"240","Auto Theft","3103854","3103854","30.17821846","-97.77832392","
,  
(30.17821846, -97.77832392)"
"2021500721","FRAUD FILING FINANCE STATEMENT","1010","N","2021-02-19T14:20:00.000","2021-02-19T00:00:00.000","1420","2021-02-19T14:53:00.000","2021-02-19T00:00:00.000","1453","BANKS / SAVINGS & LOAN","3401 NORTHLAND DR","78731","10","BA","7","284",,"C","2021-02-19T00:00:00.000",,,"3109074","3109074","30.33737614","-97.75755727","
,  
(30.33737614, -97.75755727)"
"20215007180","DISTURBANCE - OTHER","3401","N","2021-02-19T14:19:00.000","2021-02-19T00:00:00.000","1419","2021-02-19T14:19:00.000","2021-02-19T00:00:00.000","1419","TRANSPORTATION (AIR / BUS / TRAIN - TERMINALS)","3600 PRESIDENTIAL BLVD","78719","2","AP","S","499",,,,,,"3138850","3138850","30.20200816","-97.66688447","
,  
(30.20200816, -97.66688447)"
"2021500614","DRIVING WHILE INTOX / FELONY","2109","N","2021-02-19T12:56:00.000","2021-02-19T00:00:00.000","1256","2021-02-19T12:56:00.000","2021-02-19T00:00:00.000","1256","STREETS / HWY / ROAD / ALLEY","W 37TH ST / GUADALUPE ST","78705","9","BA","1","346",,,,,,"3115355","3115355","30.30196538","-97.73859392","
,  
(30.30196538, -97.73859392)"
"2021510006","BURGLARY OF RESIDENCE","500","N","2021-02-19T12:00:00.000","2021-02-19T00:00:00.000","1200","2021-02-20T00:06:00.000","2021-02-20T00:00:00.000","6","RESIDENCE / HOME","3616 PENNSYLVANIA AVE","78721","1","CH","4","424",,,,"220","Burglary","3129806","3129806","30.27607943","-97.69349734","
,  
(30.27607943, -97.69349734)"
"2021500527","AUTO THEFT","700","N","2021-02-19T11:47:00.000","2021-02-19T00:00:00.000","1147","2021-02-19T11:47:00.000","2021-02-19T00:00:00.000","1147","PARKING LOTS / GARAGE","12443 TECH RIDGE BLVD","78753","7","ED","6","206",,,,"240","Auto Theft","3138140","3138140","30.39665654","-97.66375383","
,  
(30.39665654, -97.66375383)"
"2021500445","AGG ASSAULT","402","N","2021-02-19T10:49:00.000","2021-02-19T00:00:00.000","1049","2021-02-19T10:49:00.000","2021-02-19T00:00:00.000","1049","STREETS / HWY / ROAD / ALLEY","13310 N FM 620 RD SB","78717","6","AD","5","573",,,,"13A","Aggravated Assault","3097429","3097429","30.47113648","-97.79095598","
,  
(30.47113648, -97.79095598)"
"2021500266","CRIMINAL MISCHIEF","1400","N","2021-02-19T09:05:00.000","2021-02-19T00:00:00.000","905","2021-02-19T09:05:00.000","2021-02-19T00:00:00.000","905","HOTEL / MOTEL / ETC.","109 E 7TH ST","78701","9","GE","2","381",,,,,,"3114534","3114534","30.26871572","-97.74208894","
,  
(30.26871572, -97.74208894)"
"20215006497","BURGLARY NON RESIDENCE","502","N","2021-02-19T09:00:00.000","2021-02-19T00:00:00.000","900","2021-02-19T09:30:00.000","2021-02-19T00:00:00.000","930","CONVENIENCE STORE","12001 BURNET RD","78758","7","AD","2","202",,,,"220","Burglary","3122319","3122319","30.40736653","-97.71365944","
,  
(30.40736653, -97.71365944)"
"2021500313","AUTO THEFT","700","N","2021-02-19T08:53:00.000","2021-02-19T00:00:00.000","853","2021-02-19T08:53:00.000","2021-02-19T00:00:00.000","853","STREETS / HWY / ROAD / ALLEY","6701 WOODHUE DR","78745","2","FR","4","509",,,,"240","Auto Theft","3097592","3097592","30.20191443","-97.79752475","
,  
(30.20191443, -97.79752475)"
"2021500236","AUTO THEFT","700","N","2021-02-19T07:23:00.000","2021-02-19T00:00:00.000","723","2021-02-19T07:23:00.000","2021-02-19T00:00:00.000","723","PARKING LOTS / GARAGE","11441 N IH 35 SVRD NB","78753","1","ED","7","222",,,,"240","Auto Theft","3135375","3135375","30.37919124","-97.67300854","
,  
(30.37919124, -97.67300854)"
"2021500235","AUTO THEFT","700","N","2021-02-19T06:54:00.000","2021-02-19T00:00:00.000","654","2021-02-19T06:54:00.000","2021-02-19T00:00:00.000","654","RESIDENCE / HOME","7610 CAMERON RD","78752","4","ID","1","265",,,,"240","Auto Theft","3130949","3130949","30.33173988","-97.6883503","
,  
(30.33173988, -97.6883503)"
"20215006502","BURGLARY OF RESIDENCE","500","N","2021-02-19T06:00:00.000","2021-02-19T00:00:00.000","600","2021-02-19T11:18:00.000","2021-02-19T00:00:00.000","1118","RESIDENCE / HOME","2213 PERRY AVE","78704","9","DA","1","471",,,,"220","Burglary","3107519","3107519","30.2456411","-97.76493011","
,  
(30.2456411, -97.76493011)"
"2021500145","DISTURBANCE - OTHER","3401","N","2021-02-19T04:37:00.000","2021-02-19T00:00:00.000","437","2021-02-19T04:37:00.000","2021-02-19T00:00:00.000","437","RESIDENCE / HOME","12433 DESSAU RD","78754","1","ED","6","206",,,,,,"3143645","3143645","30.38973074","-97.64648054","
,  
(30.38973074, -97.64648054)"
"2021500178","FAMILY DISTURBANCE","3400","N","2021-02-19T04:36:00.000","2021-02-19T00:00:00.000","436","2021-02-19T04:36:00.000","2021-02-19T00:00:00.000","436","RESIDENCE / HOME","10301 FM 2222 RD","78730","10","AD","8","2202",,,,,,"3082798","3082798","30.39151787","-97.83947264","
,  
(30.39151787, -97.83947264)"
"2021500175","DWI","2100","N","2021-02-19T04:21:00.000","2021-02-19T00:00:00.000","421","2021-02-19T04:21:00.000","2021-02-19T00:00:00.000","421","STREETS / HWY / ROAD / ALLEY","4700 RUNNING DEER DR","78759","6","AD","2","199",,"C","2021-02-19T00:00:00.000",,,"3115340","3115340","30.41375676","-97.7356324","
,  
(30.41375676, -97.7356324)"
"2021500164","FAMILY DISTURBANCE","3400","N","2021-02-19T04:02:00.000","2021-02-19T00:00:00.000","402","2021-02-19T04:02:00.000","2021-02-19T00:00:00.000","402","RESIDENCE / HOME","1009 CUMBERLAND RD","78704","3","DA","2","472",,,,,,"3106594","3106594","30.24035326","-97.76800078","
,  
(30.24035326, -97.76800078)"
"20215006495","BURGLARY NON RESIDENCE","502","N","2021-02-19T03:13:00.000","2021-02-19T00:00:00.000","313","2021-02-19T09:08:00.000","2021-02-19T00:00:00.000","908","DRUG STORE / DR. OFFICE / HOSPITAL","6200 W WILLIAM CANNON DR","78749","8","DA","6","77",,,,"220","Burglary","3076326","3076326","30.23067459","-97.86412412","
,  
(30.23067459, -97.86412412)"
"2021500138","PUBLIC INTOXICATION","2300","N","2021-02-19T03:10:00.000","2021-02-19T00:00:00.000","310","2021-02-19T03:10:00.000","2021-02-19T00:00:00.000","310","STREETS / HWY / ROAD / ALLEY","6323 TORRES ST","78741","3","HE","5","444",,,,,,"3130826","3130826","30.24037449","-97.69124238","
,  
(30.24037449, -97.69124238)"
"2021500099","FAMILY DISTURBANCE","3400","N","2021-02-19T02:53:00.000","2021-02-19T00:00:00.000","253","2021-02-19T02:53:00.000","2021-02-19T00:00:00.000","253","RESIDENCE / HOME","3524 GREYSTONE DR","78731","10","BA","8","256",,,,,,"3111146","3111146","30.35851201","-97.75042152","
,  
(30.35851201, -97.75042152)"
"2021500114","BURGLARY OF RESIDENCE","500","N","2021-02-19T02:37:00.000","2021-02-19T00:00:00.000","237","2021-02-19T03:21:00.000","2021-02-19T00:00:00.000","321","RESIDENCE / HOME","11316 JOLLYVILLE RD","78759","10","AD","7","177",,,,"220","Burglary","3111438","3111438","30.4110599","-97.74808698","
,  
(30.4110599, -97.74808698)"
"2021500131","FAMILY DISTURBANCE","3400","N","2021-02-19T02:30:00.000","2021-02-19T00:00:00.000","230","2021-02-19T03:35:00.000","2021-02-19T00:00:00.000","335","RESIDENCE / HOME","100 W NORTH LOOP BLVD","78751","9","ID","6","653",,"N","2021-02-19T00:00:00.000",,,"3120385","3120385","30.31793144","-97.72221864","
,  
(30.31793144, -97.72221864)"
"2021500106","FAMILY DISTURBANCE","3400","N","2021-02-19T02:22:00.000","2021-02-19T00:00:00.000","222","2021-02-19T02:22:00.000","2021-02-19T00:00:00.000","222","RESIDENCE / HOME","2336 DOUGLAS ST","78741","3","HE","2","483",,,,,,"3117763","3117763","30.22823533","-97.73294807","
,  
(30.22823533, -97.73294807)"
"2021500093","POSSESSION OF MARIJUANA","1803","N","2021-02-19T02:04:00.000","2021-02-19T00:00:00.000","204","2021-02-19T02:05:00.000","2021-02-19T00:00:00.000","205","STREETS / HWY / ROAD / ALLEY","E 6TH ST / SAN JACINTO BLVD","78701","9","GE","2","381",,"C","2021-02-19T00:00:00.000",,,"3115084","3115084","30.26739402","-97.74038174","
,  
(30.26739402, -97.74038174)"
"2021500078","BURGLARY NON RESIDENCE","502","N","2021-02-19T01:43:00.000","2021-02-19T00:00:00.000","143","2021-02-19T01:43:00.000","2021-02-19T00:00:00.000","143","CONVENIENCE STORE","6009 E BEN WHITE BLVD SVRD EB","78744","2","FR","6","496",,,,"220","Burglary","3123228","3123228","30.21217618","-97.71607435","
,  
(30.21217618, -97.71607435)"
"2021500023","FAMILY DISTURBANCE","3400","N","2021-02-19T01:13:00.000","2021-02-19T00:00:00.000","113","2021-02-19T01:13:00.000","2021-02-19T00:00:00.000","113","RESIDENCE / HOME","908 TILLERY ST","78702","3","CH","2","423",,,,,,"3126637","3126637","30.26325913","-97.70388852","
,  
(30.26325913, -97.70388852)"
"2021500055","FAMILY DISTURBANCE","3400","Y","2021-02-19T01:11:00.000","2021-02-19T00:00:00.000","111","2021-02-19T01:11:00.000","2021-02-19T00:00:00.000","111","RESIDENCE / HOME","1401 E 12TH ST","78702","1","CH","2","413",,,,,,"3119945","3119945","30.27270295","-97.72483619","
,  
(30.27270295, -97.72483619)"
"2021500050","BURGLARY OF RESIDENCE","500","N","2021-02-19T01:00:00.000","2021-02-19T00:00:00.000","100","2021-02-19T01:46:00.000","2021-02-19T00:00:00.000","146","RESIDENCE / HOME","5800 WELLINGTON DR","78723","1","ID","4","295",,,,"220","Burglary","3131148","3131148","30.31066814","-97.68829704","
,  
(30.31066814, -97.68829704)"
"2021500048","FAMILY DISTURBANCE","3400","N","2021-02-19T01:00:00.000","2021-02-19T00:00:00.000","100","2021-02-19T01:00:00.000","2021-02-19T00:00:00.000","100","RESIDENCE / HOME","2501 S IH 35 SVRD NB","78741","3","HE","2","482",,,,,,"3115068","3115068","30.23142098","-97.74139823","
,  
(30.23142098, -97.74139823)"
"20215006489","RUNAWAY CHILD","4100","N","2021-02-19T00:40:00.000","2021-02-19T00:00:00.000","40","2021-02-19T00:40:00.000","2021-02-19T00:00:00.000","40","RESIDENCE / HOME","13412 LIPTON LOOP","78617","2","HE","7","778",,,,,,"3155268","3155268","30.16873603","-97.61583404","
,  
(30.16873603, -97.61583404)"
"2021500003","THEFT","600","N","2021-02-19T00:27:00.000","2021-02-19T00:00:00.000","27","2021-02-19T00:27:00.000","2021-02-19T00:00:00.000","27","GAS / SERVICE STATIONS","11800 METRIC BLVD","78758","7","AD","2","202",,,,"23H","Theft","3125100","3125100","30.39818646","-97.70508526","
,  
(30.39818646, -97.70508526)"
"2021491465","BURGLARY OF VEHICLE","601","N","2021-02-19T00:27:00.000","2021-02-19T00:00:00.000","27","2021-02-19T00:27:00.000","2021-02-19T00:00:00.000","27","PARKING LOTS / GARAGE","833 FAIRFIELD DR","78758","4","ED","2","249",,,,"23F","Theft","3125788","3125788","30.35644463","-97.70404072","
,  
(30.35644463, -97.70404072)"
"20215006537","ASSAULT BY CONTACT","902","N","2021-02-19T00:00:00.000","2021-02-19T00:00:00.000","0","2021-02-19T21:38:00.000","2021-02-19T00:00:00.000","2138","RESIDENCE / HOME","1070 MEARNS MEADOW BLVD","78758","4","ED","1","239",,,,,,"3127076","3127076","30.36948655","-97.69959977","
,  
(30.36948655, -97.69959977)"
"2021491479","TERRORISTIC THREAT","2704","N","2021-02-18T23:59:00.000","2021-02-18T00:00:00.000","2359","2021-02-18T23:59:00.000","2021-02-18T00:00:00.000","2359","PARKING LOTS / GARAGE","835 W RUNDBERG LN","78758","4","ED","1","237",,"C","2021-02-19T00:00:00.000",,,"3127461","3127461","30.36312542","-97.69855238","
,  
(30.36312542, -97.69855238)"
"2021491474","FAMILY DISTURBANCE","3400","N","2021-02-18T23:54:00.000","2021-02-18T00:00:00.000","2354","2021-02-18T23:54:00.000","2021-02-18T00:00:00.000","2354","RESIDENCE / HOME","5800 TECHNI CENTER DR","78721","1","CH","5","397",,,,,,"3136581","3136581","30.27877475","-97.67195423","
,  
(30.27877475, -97.67195423)"
"2021491463","AGG ASSAULT WITH MOTOR VEH","406","Y","2021-02-18T23:34:00.000","2021-02-18T00:00:00.000","2334","2021-02-18T23:34:00.000","2021-02-18T00:00:00.000","2334","RESIDENCE / HOME","1300 E RIVERSIDE DR","78741","9","HE","2","441",,,,"13A","Aggravated Assault","3117278","3117278","30.24849791","-97.73393882","
,  
(30.24849791, -97.73393882)"
"2021491460","TERRORISTIC THREAT","2704","N","2021-02-18T23:34:00.000","2021-02-18T00:00:00.000","2334","2021-02-18T23:34:00.000","2021-02-18T00:00:00.000","2334","RESIDENCE / HOME","3616 PENNSYLVANIA AVE","78721","1","CH","4","424",,"C","2021-02-19T00:00:00.000",,,"3129806","3129806","30.27607943","-97.69349734","
,  
(30.27607943, -97.69349734)"
"2021491393","ASSAULT BY THREAT","901","N","2021-02-18T23:26:00.000","2021-02-18T00:00:00.000","2326","2021-02-18T23:26:00.000","2021-02-18T00:00:00.000","2326","STREETS / HWY / ROAD / ALLEY","8416 WAXWING CT","78758","4","ED","2","249",,,,,,"3124977","3124977","30.35363852","-97.70668918","
,  
(30.35363852, -97.70668918)"
"2021491459","ASSAULT OF PREGNANT WM-FAM/DAT","911","Y","2021-02-18T23:22:00.000","2021-02-18T00:00:00.000","2322","2021-02-18T23:22:00.000","2021-02-18T00:00:00.000","2322","RESIDENCE / HOME","2604 ALDRICH ST","78723","9","BA","4","900",,"C","2021-02-19T00:00:00.000",,,"3127017","3127017","30.30416717","-97.70156941","
,  
(30.30416717, -97.70156941)"
"2021491426","ASSAULT W/INJURY-FAM/DATE VIOL","900","Y","2021-02-18T22:42:00.000","2021-02-18T00:00:00.000","2242","2021-02-18T22:42:00.000","2021-02-18T00:00:00.000","2242","RESIDENCE / HOME","5924 S CONGRESS AVE","78745","2","FR","4","513",,"C","2021-02-19T00:00:00.000",,,"3104332","3104332","30.20120161","-97.77620259","
,  
(30.20120161, -97.77620259)"
"2021491410","ASSAULT W/INJURY-FAM/DATE VIOL","900","Y","2021-02-18T22:26:00.000","2021-02-18T00:00:00.000","2226","2021-02-18T22:26:00.000","2021-02-18T00:00:00.000","2226","GAS / SERVICE STATIONS","15010 FM 1825 RD","78660","7","ED","6","159",,"C","2021-02-19T00:00:00.000",,,"3137063","3137063","30.44313312","-97.66588507","
,  
(30.44313312, -97.66588507)"
"2021491409","FAMILY DISTURBANCE","3400","N","2021-02-18T22:26:00.000","2021-02-18T00:00:00.000","2226","2021-02-18T22:26:00.000","2021-02-18T00:00:00.000","2226","RESIDENCE / HOME","3312 PECAN SPRINGS RD","78723","1","CH","4","323",,,,,,"3133323","3133323","30.29130881","-97.6819343","
,  
(30.29130881, -97.6819343)"
"2021491353","DWI","2100","N","2021-02-18T21:47:00.000","2021-02-18T00:00:00.000","2147","2021-02-18T21:47:00.000","2021-02-18T00:00:00.000","2147","PARKING LOTS / GARAGE","6800 MC NEIL DR","78729","6","AD","4","169",,"C","2021-02-19T00:00:00.000",,,"3107553","3107553","30.43898321","-97.75966943","
,  
(30.43898321, -97.75966943)"
"2021491333","DEADLY CONDUCT","408","N","2021-02-18T21:18:00.000","2021-02-18T00:00:00.000","2118","2021-02-18T21:18:00.000","2021-02-18T00:00:00.000","2118","RESIDENCE / HOME","1303 BONNIE BRAE","78753","4","ED","7","241",,,,"13A","Aggravated Assault","3134446","3134446","30.35735244","-97.67655721","
,  
(30.35735244, -97.67655721)"
"2021491321","FAMILY DISTURBANCE","3400","N","2021-02-18T21:09:00.000","2021-02-18T00:00:00.000","2109","2021-02-18T21:09:00.000","2021-02-18T00:00:00.000","2109","HOTEL / MOTEL / ETC.","4320 S IH 35 SVRD SB","78745","3","DA","3","492",,,,,,"3110969","3110969","30.21286433","-97.75487649","
,  
(30.21286433, -97.75487649)"
"2021491301","CRIMINAL MISCHIEF","1400","N","2021-02-18T20:50:00.000","2021-02-18T00:00:00.000","2050","2021-02-18T20:50:00.000","2021-02-18T00:00:00.000","2050","STREETS / HWY / ROAD / ALLEY","2419 ROCKRIDGE DR","78744","2","FR","8","530",,,,,,"3110712","3110712","30.18251705","-97.75649988","
,  
(30.18251705, -97.75649988)"
"2021491300","FAMILY DISTURBANCE","3400","N","2021-02-18T20:49:00.000","2021-02-18T00:00:00.000","2049","2021-02-18T20:49:00.000","2021-02-18T00:00:00.000","2049","RESIDENCE / HOME","8824 EAST DR","78753","4","ED","1","250",,,,,,"3128348","3128348","30.3540872","-97.69598626","
,  
(30.3540872, -97.69598626)"
"2021491283","FAMILY DISTURBANCE","3400","N","2021-02-18T20:30:00.000","2021-02-18T00:00:00.000","2030","2021-02-18T20:30:00.000","2021-02-18T00:00:00.000","2030","RESIDENCE / HOME","12349 METRIC BLVD","78758","7","ED","4","204",,,,,,"3128062","3128062","30.40977797","-97.69537019","
,  
(30.40977797, -97.69537019)"
"2021491272","FAMILY DISTURBANCE","3400","N","2021-02-18T20:15:00.000","2021-02-18T00:00:00.000","2015","2021-02-18T20:15:00.000","2021-02-18T00:00:00.000","2015","RESIDENCE / HOME","2301 DURWOOD ST","78704","9","DA","1","476",,,,,,"3110089","3110089","30.24200041","-97.75688607","
,  
(30.24200041, -97.75688607)"
"2021491245","ASSAULT BY CONTACT FAM/DATING","902","Y","2021-02-18T19:49:00.000","2021-02-18T00:00:00.000","1949","2021-02-18T20:42:00.000","2021-02-18T00:00:00.000","2042","RESIDENCE / HOME","7610 CAMERON RD","78752","4","ID","1","265",,,,,,"3130949","3130949","30.33173988","-97.6883503","
,  
(30.33173988, -97.6883503)"
"2021491233","DISTURBANCE - OTHER","3401","N","2021-02-18T19:30:00.000","2021-02-18T00:00:00.000","1930","2021-02-18T19:30:00.000","2021-02-18T00:00:00.000","1930","SHELTER-MISSION / HOMELESS","900 BARTON SPRINGS RD","78704","9","DA","1","438",,"N","2021-02-19T00:00:00.000",,,"3110900","3110900","30.26023957","-97.7538299","
,  
(30.26023957, -97.7538299)"
"2021491122","ASSAULT W/INJURY-FAM/DATE VIOL","900","Y","2021-02-18T19:10:00.000","2021-02-18T00:00:00.000","1910","2021-02-18T19:10:00.000","2021-02-18T00:00:00.000","1910","RESIDENCE / HOME","12800 BUENOS AIRES PKWY","78617","2","HE","7","609",,"C","2021-02-18T00:00:00.000",,,"3152819","3152819","30.16829555","-97.62359833","
,  
(30.16829555, -97.62359833)"
"2021490966","CRIMINAL TRESPASS","2716","N","2021-02-18T18:41:00.000","2021-02-18T00:00:00.000","1841","2021-02-18T18:41:00.000","2021-02-18T00:00:00.000","1841","RESIDENCE / HOME","11805 RAIN FOREST CV","78759","10","AD","7","190",,"N","2021-02-18T00:00:00.000",,,"3110300","3110300","30.42105873","-97.7514303","
,  
(30.42105873, -97.7514303)"
"2021491140","CRIMINAL TRESPASS","2716","N","2021-02-18T18:40:00.000","2021-02-18T00:00:00.000","1840","2021-02-18T18:40:00.000","2021-02-18T00:00:00.000","1840","RESIDENCE / HOME","108 W LIVE OAK ST","78704","9","DA","1","476",,,,,,"3111233","3111233","30.24237007","-97.75325239","
,  
(30.24237007, -97.75325239)"
"2021491029","PUBLIC INTOXICATION","2300","N","2021-02-18T17:06:00.000","2021-02-18T00:00:00.000","1706","2021-02-18T17:06:00.000","2021-02-18T00:00:00.000","1706","TRANSPORTATION (AIR / BUS / TRAIN - TERMINALS)","530 ABIA WAY","78719","2","AP","A","499",,,,,,"3139280","3139280","30.20197432","-97.66552385","
,  
(30.20197432, -97.66552385)"
"2021490999","DEADLY CONDUCT","408","Y","2021-02-18T16:46:00.000","2021-02-18T00:00:00.000","1646","2021-02-18T16:46:00.000","2021-02-18T00:00:00.000","1646","PARKING LOTS / GARAGE","14010 N US 183 HWY SVRD SB","78613","6","AD","6","118",,"C","2021-02-18T00:00:00.000","13A","Aggravated Assault","3094146","3094146","30.47364592","-97.8013141","
,  
(30.47364592, -97.8013141)"
